Date,Open,High,Low,Close
04/21/2022,102.5,105.42,102.01,103.79
04/20/2022,103.05,104.16,100.7,102.75
04/19/2022,107.75,108.92,102.07,102.56
04/18/2022,107.03,109.81,106,108.21
04/14/2022,104.2,107.64,102.12,106.95
04/13/2022,100.91,104.47,99.87,104.25
04/12/2022,95.17,101.35,94.84,100.6
04/11/2022,98.4,98.52,92.93,94.29
04/08/2022,97.17,98.76,95.29,98.26
04/07/2022,97.16,98.82,93.81,96.03
04/06/2022,101.24,104.02,95.73,96.23
04/05/2022,103.66,105.59,99.88,101.96
04/04/2022,98.95,103.94,98.05,103.28
04/01/2022,101.23,101.75,97.78,99.27
03/31/2022,107.45,107.8,99.66,100.28
03/30/2022,105.24,108.75,104.55,107.82
03/29/2022,103.47,107.84,98.44,104.24
03/28/2022,112.92,112.93,102.83,105.96
03/25/2022,111.75,114.12,108.68,113.9
03/24/2022,114.47,116.64,110.61,112.34
03/23/2022,108.85,115.4,108.38,114.93
03/22/2022,112.9,115.01,109.3,111.76
03/21/2022,105.13,112.69,104.08,112.12
03/18/2022,103.62,106.28,102.3,104.7
03/17/2022,95.34,104.24,94.85,102.98
03/16/2022,95.23,99.22,94.07,95.04
03/15/2022,102.28,102.58,93.53,96.44
03/14/2022,109.42,109.72,99.76,103.01
03/11/2022,105.99,110.29,104.48,109.33
03/10/2022,110.41,114.88,105.53,106.02
03/09/2022,124.66,126.84,103.63,108.7
03/08/2022,120.67,129.44,117.07,123.7
03/07/2022,121.33,130.5,115.54,119.4
03/04/2022,107.96,116.02,107.25,115.68
03/03/2022,111.33,116.57,106.43,107.67
03/02/2022,107.12,112.51,105.18,110.6
03/01/2022,96.09,106.78,95.32,103.41
02/28/2022,94.99,99.1,94.43,95.72
02/25/2022,93.32,95.64,90.06,91.59
02/24/2022,92.52,100.54,91.45,92.81
02/23/2022,91.74,93.9,90.64,92.1
02/22/2022,94.54,96,92,92.35
02/18/2022,91.63,92.66,89.03,91.07
02/17/2022,90.9,93.36,90.62,91.76
02/16/2022,92.21,95.01,90,93.66
02/15/2022,94.83,95.17,90.66,92.07
02/14/2022,93.91,95.82,92.09,95.46
02/11/2022,90,94.66,89.19,93.1
02/10/2022,90.01,91.74,89.03,89.88
02/09/2022,89.86,90.58,88.41,89.66
02/08/2022,91.64,91.68,88.51,89.36
02/07/2022,91.82,92.73,90.73,91.32
02/04/2022,90.19,93.17,90.07,92.31
02/03/2022,87.98,90.45,86.75,90.27
02/02/2022,88.35,89.72,87.1,88.26
02/01/2022,88.15,88.87,86.55,88.2
01/31/2022,87.45,88.39,86.34,88.15
01/28/2022,87.5,88.84,86.44,86.82
01/27/2022,87.15,88.54,86.2,86.61
01/26/2022,85.26,87.95,85.01,87.35
01/25/2022,84.15,85.71,82.99,85.6
01/24/2022,84.91,86.09,81.9,83.31
01/21/2022,84.57,85.56,82.78,85.14
01/20/2022,86.23,87.82,86,86.9
01/19/2022,86.61,87.92,85.77,86.96
01/18/2022,84.28,86.63,84.11,85.43
01/14/2022,81.73,84.45,81.58,83.82
01/13/2022,82.82,82.94,81.39,82.12
01/12/2022,81.38,83.1,81.17,82.64
01/11/2022,78.42,81.59,78.36,81.22
01/10/2022,78.88,79.45,77.83,78.23
01/07/2022,79.62,80.47,78.52,78.9
01/06/2022,77.24,80.24,76.73,79.46
01/05/2022,77.18,78.58,76.51,77.85
01/04/2022,76.02,77.64,75.7,76.99
01/03/2022,75.69,76.46,74.27,76.08
12/31/2021,76.66,77.08,74.95,75.21
12/30/2021,76.58,77.44,75.78,76.99
12/29/2021,76.04,77.37,75.36,76.56
12/28/2021,75.97,76.92,75.53,75.98
12/27/2021,73.38,76.09,72.57,75.57
12/23/2021,73.03,73.95,72.27,73.79
12/22/2021,71.27,73.16,70.8,72.76
12/21/2021,69.21,71.55,68.56,71.12
12/20/2021,70.07,70.07,66.04,68.23
12/17/2021,71.92,72.26,69.89,70.86
12/16/2021,71.48,72.99,71.03,72.38
12/15/2021,70.35,71.66,69.39,70.87
