Date,Open,High,Low,Close,Adj Close,Volume
2021-06-22,0.010495,0.010497,0.010470,0.010493,0.010493,0
2021-06-23,0.010481,0.010536,0.010467,0.010479,0.010479,0
2021-06-24,0.010477,0.010480,0.010464,0.010476,0.010476,0
2021-06-25,0.010475,0.010480,0.010460,0.010473,0.010473,0
2021-06-28,0.010472,0.010480,0.010450,0.010471,0.010471,0
2021-06-29,0.010469,0.010472,0.010447,0.010469,0.010469,0
2021-06-30,0.010459,0.010462,0.010445,0.010460,0.010460,0
2021-07-01,0.010449,0.010458,0.010440,0.010449,0.010449,0
2021-07-02,0.010442,0.010454,0.010438,0.010443,0.010443,0
2021-07-05,0.010468,0.010481,0.010427,0.010475,0.010475,0
2021-07-06,0.010429,0.010440,0.010423,0.010430,0.010430,0
2021-07-07,0.010427,0.010437,0.010418,0.010426,0.010426,0
2021-07-08,0.010423,0.010433,0.010406,0.010424,0.010424,0
2021-07-09,0.010418,0.010432,0.010417,0.010418,0.010418,0
2021-07-12,0.010433,0.010446,0.010405,0.010433,0.010433,0
2021-07-13,0.010407,0.010410,0.010402,0.010406,0.010406,0
2021-07-14,0.010403,0.010413,0.010399,0.010404,0.010404,0
2021-07-15,0.010400,0.010442,0.010395,0.010400,0.010400,0
2021-07-16,0.010398,0.010403,0.010392,0.010396,0.010396,0
2021-07-19,0.010405,0.010414,0.010382,0.010407,0.010407,0
2021-07-20,0.010384,0.010417,0.010379,0.010384,0.010384,0
2021-07-21,0.010381,0.010390,0.010376,0.010381,0.010381,0
2021-07-22,0.010378,0.010404,0.010373,0.010378,0.010378,0
2021-07-23,0.010373,0.010384,0.010370,0.010373,0.010373,0
2021-07-26,0.010383,0.010399,0.010358,0.010390,0.010390,0
2021-07-27,0.010361,0.010401,0.010353,0.010362,0.010362,0
2021-07-28,0.010356,0.010387,0.010345,0.010355,0.010355,0
2021-07-29,0.010351,0.010398,0.010342,0.010351,0.010351,0
2021-07-30,0.010355,0.010365,0.010341,0.010356,0.010356,0
2021-08-02,0.010338,0.010356,0.010326,0.010339,0.010339,0
2021-08-03,0.010332,0.010339,0.010326,0.010332,0.010332,0
2021-08-04,0.010330,0.010337,0.010323,0.010331,0.010331,0
2021-08-05,0.010327,0.010338,0.010316,0.010327,0.010327,0
2021-08-06,0.010331,0.010338,0.010316,0.010331,0.010331,0
2021-08-09,0.010283,0.010330,0.010277,0.010282,0.010282,0
2021-08-10,0.010309,0.010320,0.010305,0.010310,0.010310,0
2021-08-11,0.010307,0.010317,0.010302,0.010307,0.010307,0
2021-08-12,0.010313,0.010337,0.010299,0.010312,0.010312,0
2021-08-13,0.010310,0.010321,0.010296,0.010310,0.010310,0
2021-08-16,0.010301,0.010363,0.010297,0.010300,0.010300,0
2021-08-17,0.010307,0.010315,0.010280,0.010307,0.010307,0
2021-08-18,0.010293,0.010296,0.010278,0.010293,0.010293,0
2021-08-19,0.010280,0.010293,0.010277,0.010281,0.010281,0
2021-08-20,0.010280,0.010290,0.010274,0.010280,0.010280,0
2021-08-23,0.010303,0.010325,0.010262,0.010301,0.010301,0
2021-08-24,0.010267,0.010302,0.010262,0.010267,0.010267,0
2021-08-25,0.010272,0.010279,0.010254,0.010271,0.010271,0
2021-08-26,0.010266,0.010295,0.010250,0.010266,0.010266,0
2021-08-27,0.010263,0.010271,0.010246,0.010263,0.010263,0
2021-08-30,0.010261,0.010314,0.010230,0.010261,0.010261,0
2021-08-31,0.010245,0.010297,0.010226,0.010244,0.010244,0
2021-09-01,0.010230,0.010240,0.010222,0.010230,0.010230,0
2021-09-02,0.010235,0.010258,0.010220,0.010234,0.010234,0
2021-09-03,0.010222,0.010266,0.010216,0.010222,0.010222,0
2021-09-06,0.010220,0.010238,0.010206,0.010220,0.010220,0
2021-09-07,0.010209,0.010219,0.010202,0.010209,0.010209,0
2021-09-08,0.010216,0.010218,0.010199,0.010216,0.010216,0
2021-09-09,0.010203,0.010206,0.010197,0.010205,0.010205,0
2021-09-10,0.010207,0.010211,0.010193,0.010209,0.010209,0
2021-09-13,0.010200,0.010254,0.010177,0.010199,0.010199,0
2021-09-14,0.010186,0.010239,0.010179,0.010186,0.010186,0
2021-09-15,0.010192,0.010194,0.010178,0.010192,0.010192,0
2021-09-16,0.010186,0.010195,0.010170,0.010187,0.010187,0
2021-09-17,0.010175,0.010188,0.010166,0.010176,0.010176,0
2021-09-20,0.010178,0.010181,0.010116,0.010178,0.010178,0
2021-09-21,0.010165,0.010193,0.010149,0.010165,0.010165,0
2021-09-22,0.010165,0.010170,0.010148,0.010164,0.010164,0
2021-09-23,0.010154,0.010165,0.010130,0.010154,0.010154,0
2021-09-24,0.010159,0.010187,0.010146,0.010158,0.010158,0
2021-09-27,0.010151,0.010157,0.010131,0.010151,0.010151,0
2021-09-28,0.010147,0.010150,0.010130,0.010147,0.010147,0
2021-09-29,0.010145,0.010149,0.010128,0.010146,0.010146,0
2021-09-30,0.010141,0.010142,0.010124,0.010140,0.010140,0
2021-10-01,0.010128,0.010142,0.010120,0.010128,0.010128,0
2021-10-04,0.010141,0.010153,0.010109,0.010141,0.010141,0
2021-10-05,0.010111,0.010132,0.010109,0.010112,0.010112,0
2021-10-06,0.010111,0.010122,0.010106,0.010113,0.010113,0
2021-10-07,0.010111,0.010137,0.010104,0.010111,0.010111,0
2021-10-08,0.010116,0.010123,0.010113,0.010116,0.010116,0
2021-10-11,0.010125,0.010138,0.010113,0.010125,0.010125,0
2021-10-12,0.010116,0.010123,0.010087,0.010117,0.010117,0
2021-10-13,0.010101,0.010113,0.010086,0.010102,0.010102,0
2021-10-14,0.010097,0.010140,0.010084,0.010098,0.010098,0
2021-10-15,0.010094,0.010097,0.010079,0.010095,0.010095,0
2021-10-18,0.010082,0.010089,0.010065,0.010083,0.010083,0
2021-10-19,0.010078,0.010124,0.010068,0.010078,0.010078,0
2021-10-20,0.010071,0.010076,0.010062,0.010070,0.010070,0
2021-10-21,0.010070,0.010073,0.010062,0.010068,0.010068,0
2021-10-22,0.010068,0.010080,0.010058,0.010068,0.010068,0
2021-10-25,0.010071,0.010099,0.010049,0.010070,0.010070,0
2021-10-26,0.010058,0.010064,0.010047,0.010057,0.010057,0
2021-10-27,0.010047,0.010051,0.010038,0.010046,0.010046,0
2021-10-28,0.010035,0.010051,0.010027,0.010036,0.010036,0
2021-10-29,0.010036,0.010040,0.010027,0.010035,0.010035,0
2021-11-01,0.010029,0.010036,0.009951,0.010026,0.010026,0
2021-11-02,0.010024,0.010063,0.010013,0.010023,0.010023,0
2021-11-03,0.010019,0.010021,0.010008,0.010019,0.010019,0
2021-11-04,0.010013,0.010039,0.010002,0.010015,0.010015,0
2021-11-05,0.010010,0.010016,0.009996,0.010010,0.010010,0
2021-11-08,0.010010,0.010045,0.009994,0.010011,0.010011,0
2021-11-09,0.009999,0.010002,0.009990,0.009999,0.009999,0
2021-11-10,0.009992,0.010016,0.009983,0.009993,0.009993,0
2021-11-11,0.009986,0.009989,0.009940,0.009987,0.009987,0
2021-11-12,0.009982,0.009986,0.009966,0.009981,0.009981,0
2021-11-15,0.009974,0.009998,0.009969,0.009974,0.009974,0
2021-11-16,0.009972,0.009979,0.009964,0.009973,0.009973,0
2021-11-17,0.009971,0.009975,0.009961,0.009971,0.009971,0
2021-11-18,0.009962,0.009988,0.009958,0.009962,0.009962,0
2021-11-19,0.009964,0.009984,0.009952,0.009965,0.009965,0
2021-11-22,0.009943,0.009962,0.009936,0.009944,0.009944,0
2021-11-23,0.009959,0.009969,0.009926,0.009960,0.009960,0
2021-11-24,0.009944,0.009964,0.009936,0.009944,0.009944,0
2021-11-25,0.009942,0.009945,0.009932,0.009942,0.009942,0
2021-11-26,0.009933,0.009948,0.009919,0.009932,0.009932,0
2021-11-29,0.009903,0.009945,0.009894,0.009902,0.009902,0
2021-11-30,0.009912,0.009918,0.009904,0.009913,0.009913,0
2021-12-01,0.009907,0.009916,0.009895,0.009906,0.009906,0
2021-12-02,0.009905,0.009908,0.009892,0.009903,0.009903,0
2021-12-03,0.009897,0.009903,0.009875,0.009898,0.009898,0
2021-12-06,0.009896,0.009899,0.009865,0.009899,0.009899,0
2021-12-07,0.009878,0.009887,0.009860,0.009878,0.009878,0
2021-12-08,0.009865,0.009867,0.009862,0.009865,0.009865,0
2021-12-09,0.009864,0.009922,0.009848,0.009864,0.009864,0
2021-12-10,0.009848,0.009855,0.009840,0.009849,0.009849,0
2021-12-13,0.009894,0.009897,0.009828,0.009894,0.009894,0
2021-12-14,0.009836,0.009841,0.009821,0.009837,0.009837,0
2021-12-15,0.009830,0.009837,0.009799,0.009830,0.009830,0
2021-12-16,0.009822,0.009853,0.009812,0.009821,0.009821,0
2021-12-17,0.009818,0.009850,0.009805,0.009817,0.009817,0
2021-12-20,0.009757,0.009815,0.009752,0.009759,0.009759,0
2021-12-21,0.009792,0.009830,0.009783,0.009792,0.009792,0
2021-12-22,0.009788,0.009789,0.009776,0.009787,0.009787,0
2021-12-23,0.009780,0.009830,0.009768,0.009780,0.009780,0
2021-12-24,0.009778,0.009782,0.009776,0.009778,0.009778,0
2021-12-27,0.009783,0.009784,0.009747,0.009783,0.009783,0
2021-12-28,0.009752,0.009790,0.009742,0.009751,0.009751,0
2021-12-29,0.009745,0.009751,0.009730,0.009746,0.009746,0
2021-12-30,0.009744,0.009745,0.009730,0.009744,0.009744,0
2021-12-31,0.009739,0.009744,0.009735,0.009739,0.009739,0
2022-01-03,0.009741,0.009778,0.009703,0.009741,0.009741,0
2022-01-04,0.009713,0.009723,0.009699,0.009713,0.009713,0
2022-01-05,0.009699,0.009729,0.009692,0.009699,0.009699,0
2022-01-06,0.009700,0.009702,0.009684,0.009700,0.009700,0
2022-01-07,0.009687,0.009700,0.009680,0.009687,0.009687,0
2022-01-10,0.009736,0.009741,0.009659,0.009736,0.009736,0
2022-01-11,0.009666,0.009698,0.009653,0.009666,0.009666,0
2022-01-12,0.009661,0.009701,0.009646,0.009660,0.009660,0
2022-01-13,0.009646,0.009649,0.009636,0.009647,0.009647,0
2022-01-14,0.009637,0.009657,0.009627,0.009638,0.009638,0
2022-01-17,0.009626,0.009637,0.009603,0.009624,0.009624,0
2022-01-18,0.009610,0.009641,0.009596,0.009612,0.009612,0
2022-01-19,0.009605,0.009610,0.009587,0.009604,0.009604,0
2022-01-20,0.009597,0.009630,0.009585,0.009597,0.009597,0
